model,layer,relative_depth,overall,care,harm,fairness,cheating,loyalty,betrayal,authority,subversion,sanctity,degradation
Guard-Gen-0.6B,0,0.0,0.15658583973934798,0.18914919160678012,0.19682372870180787,0.10182303743817489,0.211144108527054,0.16001590428451273,0.21304338161606373,0.11222142448029415,0.14353832004679334,0.08466276129400752,0.15343653939817514
Guard-Gen-0.6B,1,0.037037037037037035,0.15464529189862553,0.1897238969670011,0.19853067367946942,0.09913994932757664,0.2114070338034948,0.17644397153516056,0.20790324985848263,0.09286648977118173,0.1473302058080418,0.08145334382111091,0.14165410441492465
Guard-Gen-0.6B,2,0.07407407407407407,0.07401039290261346,0.16965787941392407,0.13345379451545825,0.029160436472372653,0.19005423870509586,0.1022324499804862,0.10380413883226591,-0.03290033531945591,-0.04931734928844045,-0.0015015237848539087,0.09546019949948381
Guard-Gen-0.6B,3,0.1111111111111111,0.08816280579342771,0.17569529081440471,0.13994587337357056,-0.014784463862001829,0.0313383188138846,0.08379517574928952,0.18562967212789971,0.07550468643592068,0.07386341377970052,0.006576761874365844,0.12406332882745663
Guard-Gen-0.6B,4,0.14814814814814814,0.08068321010983635,0.20190665403960328,0.19168273836555139,-0.02851092769261121,0.07852144251536641,0.14201219655346586,0.18306851262869694,0.058118749114839496,-0.130272264021269,0.003200030120740993,0.10710496947417958
Guard-Gen-0.6B,5,0.18518518518518517,0.05736895179613731,0.1875315403082337,0.11866617983584415,-0.016277758913702645,0.11390531185192221,0.04840117154224388,0.1528534582414921,-0.08552577728583333,-0.097440089827181,0.041243597362409234,0.11033188484614553
Guard-Gen-0.6B,6,0.2222222222222222,0.04752880273080642,0.17497405938218358,0.1743075158573434,0.016115045258539795,0.07209860993981676,0.05435872791426222,0.20048638472351943,-0.14817569278570697,-0.031086508584857286,-0.1648847458893521,0.12709463149250866
Guard-Gen-0.6B,7,0.25925925925925924,0.028745144863285145,0.13463724895038576,0.1384836158669268,0.003270381433866487,0.02301915411503852,0.04317326227874052,0.15029680245232402,0.051496780142627374,0.00627591902348934,-0.3473909618359847,0.08418924620563861
Guard-Gen-0.6B,8,0.2962962962962963,0.061755612454260846,0.15474629164932208,0.14848345624973625,0.11303384699176244,0.16014523106730183,0.16026597435046763,0.15547311674749376,-0.012671948486786544,-0.0484585558938877,-0.09883644034630956,-0.11462484778629056
Guard-Gen-0.6B,9,0.3333333333333333,0.053067603153209464,0.20550860934885073,0.18198216944188383,-0.207294187070858,0.1703370046198518,0.18590212534205075,0.1276335870811114,-0.12122370895516621,0.08853975282030102,-0.23971292366720043,0.13900360257148525
