model,foundation,cosine_similarity
Qwen3-8B,Care-Harm,0.6331890821456909
Qwen3-8B,Fairness-Cheating,-0.5882399082183838
Qwen3-8B,Loyalty-Betrayal,-0.6094141602516174
Qwen3-8B,Sanctity-Degradation,-0.7757384777069092
Qwen3-8B-Base,Authority-Subversion,0.7113164067268372
Qwen3-8B-Base,Care-Harm,0.5227310657501221
Qwen3-8B-Base,Fairness-Cheating,0.4105607271194458
Qwen3-8B-Base,Loyalty-Betrayal,-0.46667277812957764
Qwen3-8B-Base,Sanctity-Degradation,-0.6753135323524475
gpt-oss-120b,Authority-Subversion,-0.030255671590566635
gpt-oss-120b,Care-Harm,-0.16927435994148254
gpt-oss-120b,Fairness-Cheating,-0.1782481074333191
gpt-oss-120b,Loyalty-Betrayal,-0.24372567236423492
gpt-oss-120b,Sanctity-Degradation,-0.3804166913032532
gpt-oss-20b,Authority-Subversion,0.2941560745239258
gpt-oss-20b,Care-Harm,0.08762606233358383
gpt-oss-20b,Fairness-Cheating,-0.2646244168281555
gpt-oss-20b,Loyalty-Betrayal,-0.4402035176753998
gpt-oss-20b,Sanctity-Degradation,-0.6034770011901855
gpt-oss-safeguard-120b,Authority-Subversion,-0.030356235802173615
gpt-oss-safeguard-120b,Care-Harm,-0.16418375074863434
gpt-oss-safeguard-120b,Fairness-Cheating,-0.17743009328842163
gpt-oss-safeguard-120b,Loyalty-Betrayal,-0.23736508190631866
gpt-oss-safeguard-120b,Sanctity-Degradation,-0.3780127465724945
gpt-oss-safeguard-20b,Authority-Subversion,0.29713860154151917
gpt-oss-safeguard-20b,Care-Harm,0.08460330963134766
gpt-oss-safeguard-20b,Fairness-Cheating,-0.276324063539505
gpt-oss-safeguard-20b,Loyalty-Betrayal,-0.4379737079143524
gpt-oss-safeguard-20b,Sanctity-Degradation,-0.6039599776268005
