model,variant,benchmark,bench_key,domain,metric,raw,score,source,n,coverage,acc_all,refusal_rate,harmless_rate,tdr,rdr,l1_rdr,l2_rdr,safe_compliance,unsafe_refusal,record_coverage,score_coverage,macro_asr,micro_asr_lower,micro_asr_upper,validity,n_tasks
GPT-OSS-20B,ReSo,OpenRT,openrt,Safety,1 - micro ASR (27 attacks),0.1476,85.24,openrt/gpt-oss-20b/gpt-oss-20b-reso/summary.json,6052,,,,,,,,,,,1.0,0.9339506172839506,0.15877407407407407,0.13780864197530865,0.20385802469135803,,
GPT-OSS-20B,ReSo-shuffle,OpenRT,openrt,Safety,1 - micro ASR (27 attacks),0.1559,84.41,openrt/gpt-oss-20b/gpt-oss-20b-shuffle/summary.json,6105,,,,,,,,,,,0.9996913580246913,0.9421296296296297,0.16423333333333334,0.1469135802469136,0.20478395061728394,,
GPT-OSS-20B,Base,XSTest,xstest,Alignment,Balanced acc.,0.5438,54.38,xstest/gpt-oss-20b/xstest_gpt-oss-20b.json,,,,,,,,,,0.0927,0.9949,,,,,,,
GPT-OSS-20B,DPO,XSTest,xstest,Alignment,Balanced acc.,0.9303,93.03,xstest/gpt-oss-20b/xstest_dpo-gpt-oss-20b-2026-07-28-12-18_best.json,,,,,,,,,,0.9157,0.945,,,,,,,
GPT-OSS-20B,ReSo,XSTest,xstest,Alignment,Balanced acc.,0.8895,88.95,xstest/gpt-oss-20b/xstest_gpt-oss-20b-reso-1-2026-07-28-16-07-lr-5e-6_best.json,,,,,,,,,,0.784,0.995,,,,,,,
GPT-OSS-20B,ReSo-shuffle,XSTest,xstest,Alignment,Balanced acc.,0.876,87.6,xstest/gpt-oss-20b/xstest_gpt-oss-20b-reso-1-shuffle-1-2026-07-28-21-07_best.json,,,,,,,,,,0.752,1.0,,,,,,,
GPT-OSS-20B,Base,ETHICS,ethics,Alignment,Composite,0.5939,59.39,ethics_benchmark/gpt-oss-20b/ethics_benchmark_gpt-oss-20b.json,,,,,,,,,,,,,,,,,1.0,
GPT-OSS-20B,DPO,ETHICS,ethics,Alignment,Composite,0.6088,60.88,ethics_benchmark/gpt-oss-20b/ethics_benchmark_dpo-gpt-oss-20b-2026-07-28-12-18_best.json,,,,,,,,,,,,,,,,,1.0,
GPT-OSS-20B,ReSo,ETHICS,ethics,Alignment,Composite,0.5637,56.37,ethics_benchmark/gpt-oss-20b/ethics_benchmark_gpt-oss-20b-reso-1-2026-07-28-16-07-lr-5e-6_best.json,,,,,,,,,,,,,,,,,1.0,
GPT-OSS-20B,ReSo-shuffle,ETHICS,ethics,Alignment,Composite,0.6118,61.18,ethics_benchmark/gpt-oss-20b/ethics_benchmark_gpt-oss-20b-reso-1-shuffle-1-2026-07-28-21-07_best.json,,,,,,,,,,,,,,,,,1.0,
