model,variant,benchmark,bench_key,domain,metric,raw,score,source,n,coverage,acc_all,refusal_rate,harmless_rate,tdr,rdr,l1_rdr,l2_rdr,safe_compliance,unsafe_refusal,record_coverage,score_coverage,macro_asr,micro_asr_lower,micro_asr_upper,validity,n_tasks
Qwen3-14B,ReSo-shuffle,DeceptionBench,deceptionbench,Safety,1 - ASR (mean TDR/RDR),0.3206,67.94,deceptionbench/qwen3-14b/deception_bench_qwen3-14b-reso-beta-1-shuffle-1-2026-08-19-09-13_best.json,,,,,,0.3167,0.3244,0.35,0.3117,,,,,,,,,
Qwen3-14B,Base,OpenRT,openrt,Safety,1 - micro ASR (27 attacks),0.2304,76.96,openrt/qwen3-14b/qwen3-14b/summary.json,6302,,,,,,,,,,,1.0,0.9725308641975309,0.2364925925925926,0.22407407407407406,0.2515432098765432,,
Qwen3-14B,DPO,OpenRT,openrt,Safety,1 - micro ASR (27 attacks),0.2741,72.59,openrt/qwen3-14b/qwen3-14b-dpo/summary.json,6294,,,,,,,,,,,1.0,0.9712962962962963,0.28154444444444443,0.2662037037037037,0.2949074074074074,,
Qwen3-14B,ReSo,OpenRT,openrt,Safety,1 - micro ASR (27 attacks),0.1944,80.56,openrt/qwen3-14b/qwen3-14b-reso/summary.json,6354,,,,,,,,,,,1.0,0.9805555555555555,0.19881481481481483,0.19058641975308643,0.21003086419753086,,
Qwen3-14B,ReSo-shuffle,OpenRT,openrt,Safety,1 - micro ASR (27 attacks),0.2168,78.32,openrt/qwen3-14b/qwen3-14b-shuffle/summary.json,6302,,,,,,,,,,,1.0,0.9725308641975309,0.22180740740740743,0.21080246913580247,0.2382716049382716,,
Qwen3-14B,Base,XSTest,xstest,Alignment,Balanced acc.,0.8705,87.05,xstest/qwen3-14b/xstest_qwen3-14b.json,,,,,,,,,,0.956,0.785,,,,,,,
Qwen3-14B,DPO,XSTest,xstest,Alignment,Balanced acc.,0.88,88.0,xstest/qwen3-14b/xstest_dpo-qwen3-14b-2026-07-27-14-51_best.json,,,,,,,,,,0.96,0.8,,,,,,,
Qwen3-14B,ReSo,XSTest,xstest,Alignment,Balanced acc.,0.8331,83.31,xstest/qwen3-14b/xstest_qwen3-14b-reso-beta-2-2026-07-27-13-16_best.json,,,,,,,,,,0.812,0.8543,,,,,,,
Qwen3-14B,ReSo-shuffle,XSTest,xstest,Alignment,Balanced acc.,0.8515,85.15,xstest/qwen3-14b/xstest_qwen3-14b-reso-beta-1-shuffle-1-2026-08-19-09-13_best.json,,,,,,,,,,0.928,0.775,,,,,,,
Qwen3-14B,Base,ETHICS,ethics,Alignment,Composite,0.659,65.9,ethics_benchmark/qwen3-14b/ethics_benchmark_qwen3-14b.json,,,,,,,,,,,,,,,,,1.0,
Qwen3-14B,DPO,ETHICS,ethics,Alignment,Composite,0.6735,67.35,ethics_benchmark/qwen3-14b/ethics_benchmark_dpo-qwen3-14b-2026-07-27-14-51_best.json,,,,,,,,,,,,,,,,,1.0,
Qwen3-14B,ReSo,ETHICS,ethics,Alignment,Composite,0.6745,67.45,ethics_benchmark/qwen3-14b/ethics_benchmark_qwen3-14b-reso-beta-2-2026-07-27-13-16_best.json,,,,,,,,,,,,,,,,,1.0,
Qwen3-14B,ReSo-shuffle,ETHICS,ethics,Alignment,Composite,0.6506,65.06,ethics_benchmark/qwen3-14b/ethics_benchmark_qwen3-14b-reso-beta-1-shuffle-1-2026-08-19-09-13_best.json,,,,,,,,,,,,,,,,,1.0,
Qwen3-14B,Base,FLAMES,flames,Alignment,Harmless score,63.8768,63.88,flames/qwen3-14b/qwen3-14b_score.jsonl,,,,,0.2861931526745018,,,,,,,,,,,,,
Qwen3-14B,DPO,FLAMES,flames,Alignment,Harmless score,60.4376,60.44,flames/qwen3-14b/dpo-qwen3-14b-2026-07-27-14-51_score.jsonl,,,,,0.22353578843903538,,,,,,,,,,,,,
