model,category,peak_r2
Qwen3-14B,fairness,0.1023574314
Qwen3-14B,harm,0.208732575
Qwen3-14B,loyalty,0.1663110535
Qwen3-14B,overall,0.1583410772
Qwen3-14B,sanctity,0.0859437173
Qwen3-14B,subversion,0.1418298822
Qwen3-14B-Base,authority,0.1009029578
Qwen3-14B-Base,betrayal,0.2168245902
Qwen3-14B-Base,care,0.2066388582
Qwen3-14B-Base,cheating,0.2178757032
Qwen3-14B-Base,degradation,0.1433372237
Qwen3-14B-Base,fairness,0.1084860939
Qwen3-14B-Base,harm,0.2020250637
Qwen3-14B-Base,loyalty,0.1701440884
Qwen3-14B-Base,overall,0.1551028878
Qwen3-14B-Base,sanctity,0.0729842633
Qwen3-14B-Base,subversion,0.1340320567
Qwen3-235B-A22B,authority,0.1387172891
Qwen3-235B-A22B,betrayal,0.2888717282
Qwen3-235B-A22B,care,0.2963424241
Qwen3-235B-A22B,cheating,0.2653164391
Qwen3-235B-A22B,degradation,0.2553472384
Qwen3-235B-A22B,fairness,0.1846267222
Qwen3-235B-A22B,harm,0.3121155943
Qwen3-235B-A22B,loyalty,0.2661473794
Qwen3-235B-A22B,overall,0.2280143799
Qwen3-235B-A22B,sanctity,0.1383629599
Qwen3-235B-A22B,subversion,0.2121986891
Qwen3-235B-A22B-Instruct-2507,authority,0.1549264834
Qwen3-235B-A22B-Instruct-2507,betrayal,0.3042976137
Qwen3-235B-A22B-Instruct-2507,care,0.3020006291
Qwen3-235B-A22B-Instruct-2507,cheating,0.2676605901
Qwen3-235B-A22B-Instruct-2507,degradation,0.2582618673
Qwen3-235B-A22B-Instruct-2507,fairness,0.196169785
Qwen3-235B-A22B-Instruct-2507,harm,0.3065586375
Qwen3-235B-A22B-Instruct-2507,loyalty,0.2677304603
Qwen3-235B-A22B-Instruct-2507,overall,0.2332786234
Qwen3-235B-A22B-Instruct-2507,sanctity,0.1571365081
Qwen3-235B-A22B-Instruct-2507,subversion,0.2239922461
Qwen3-32B,authority,0.0993922579
Qwen3-32B,betrayal,0.207294293
Qwen3-32B,care,0.1942913468
Qwen3-32B,cheating,0.2043894739
Qwen3-32B,degradation,0.1293497251
Qwen3-32B,fairness,0.092283389
Qwen3-32B,harm,0.1984304925
Qwen3-32B,loyalty,0.1538665055
Qwen3-32B,overall,0.1469266794
Qwen3-32B,sanctity,0.0650083847
Qwen3-32B,subversion,0.1500408881
Qwen3-4B,authority,0.1271489896
Qwen3-4B,betrayal,0.256815728
Qwen3-4B,care,0.244033722
Qwen3-4B,cheating,0.2237004184
Qwen3-4B,degradation,0.1961559946
Qwen3-4B,fairness,0.1175764258
Qwen3-4B,harm,0.2512161238
Qwen3-4B,loyalty,0.1932286601
Qwen3-4B,overall,0.1681097444
Qwen3-4B,sanctity,0.0863576609
Qwen3-4B,subversion,0.1563588174
Qwen3-4B-Base,authority,0.1177808219
Qwen3-4B-Base,betrayal,0.235671101
Qwen3-4B-Base,care,0.2672361901
Qwen3-4B-Base,cheating,0.2258280585
Qwen3-4B-Base,degradation,0.1975239934
Qwen3-4B-Base,fairness,0.1346651501
Qwen3-4B-Base,harm,0.2605363833
Qwen3-4B-Base,loyalty,0.2088659989
Qwen3-4B-Base,overall,0.1703259689
Qwen3-4B-Base,sanctity,0.099947237
Qwen3-4B-Base,subversion,0.161044783
Qwen3-8B,authority,0.110245208
Qwen3-8B,betrayal,0.2292141337
Qwen3-8B,care,0.2110915807
Qwen3-8B,cheating,0.2115203605
Qwen3-8B,degradation,0.151071254
Qwen3-8B,fairness,0.1079286101
Qwen3-8B,harm,0.2177750305
Qwen3-8B,loyalty,0.1860564449
Qwen3-8B,overall,0.1591979778
Qwen3-8B,sanctity,0.0805400348
Qwen3-8B,subversion,0.1513241386
Qwen3-8B-Base,authority,0.1230222689
Qwen3-8B-Base,betrayal,0.2288395239
Qwen3-8B-Base,care,0.2346473346
Qwen3-8B-Base,cheating,0.2165437403
Qwen3-8B-Base,degradation,0.1552233332
Qwen3-8B-Base,fairness,0.1213383881
Qwen3-8B-Base,harm,0.2418945632
Qwen3-8B-Base,loyalty,0.1859427721
Qwen3-8B-Base,overall,0.1670376352
Qwen3-8B-Base,sanctity,0.0942125099
Qwen3-8B-Base,subversion,0.1560445246
gpt-oss-120b,authority,0.0612407583
gpt-oss-120b,betrayal,0.1830595794
gpt-oss-120b,care,0.1568956896
gpt-oss-120b,cheating,0.173678328
