model,category,peak_spearman_r,peak_layer
Llama-Guard-3-8B,loyalty-betrayal_vice,0.4722959234262128,31
Llama-Guard-3-8B,loyalty-betrayal_virtue,0.3838440474433771,31
Llama-Guard-3-8B,sanctity-degradation_vice,0.3903908000716187,31
Llama-Guard-3-8B,sanctity-degradation_virtue,0.2728629882077918,31
Qwen3-0.6B,authority-subversion_vice,0.3342804627096877,27
Qwen3-0.6B,authority-subversion_virtue,0.2421796535287914,1
Qwen3-0.6B,care-harm_vice,0.3779841645304631,0
Qwen3-0.6B,care-harm_virtue,0.3140909161763004,1
Qwen3-0.6B,fairness-cheating_vice,0.4073823517901349,0
Qwen3-0.6B,fairness-cheating_virtue,0.28778924441021,27
Qwen3-0.6B,loyalty-betrayal_vice,0.4265125053856932,27
Qwen3-0.6B,loyalty-betrayal_virtue,0.2599440617725894,1
Qwen3-0.6B,sanctity-degradation_vice,0.2801729152661719,27
Qwen3-0.6B,sanctity-degradation_virtue,0.2011030053683947,1
Qwen3-0.6B-Base,authority-subversion_vice,0.419924610749832,27
Qwen3-0.6B-Base,authority-subversion_virtue,0.2565348033360415,27
Qwen3-0.6B-Base,care-harm_vice,0.4397852951088173,27
Qwen3-0.6B-Base,care-harm_virtue,0.3182470428406568,27
Qwen3-0.6B-Base,fairness-cheating_vice,0.4448517448843708,27
Qwen3-0.6B-Base,fairness-cheating_virtue,0.2673513840139134,27
Qwen3-0.6B-Base,loyalty-betrayal_vice,0.4881875696696107,27
Qwen3-0.6B-Base,loyalty-betrayal_virtue,0.3334978280878857,27
Qwen3-0.6B-Base,sanctity-degradation_vice,0.2877520011786504,27
Qwen3-0.6B-Base,sanctity-degradation_virtue,0.2025459557102994,1
Qwen3-14B,authority-subversion_vice,0.3479409397016225,39
Qwen3-14B,authority-subversion_virtue,0.2711889815839158,3
Qwen3-14B,care-harm_vice,0.3697015653585163,0
Qwen3-14B,care-harm_virtue,0.3955037705560933,39
Qwen3-14B,fairness-cheating_vice,0.4113344257736983,3
Qwen3-14B,fairness-cheating_virtue,0.3688426745697992,38
